"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Julian Brandt","GER","MF","Bundesliga","Dortmund","28","30","28","2,303",25.6,"5","10","5","0","0","1","0","4.8","4.8","8.5","61","149"
"Moritz Broschinski","GER","FW,MF","Bundesliga","Bochum","23","33","15","1,390",15.4,"1","3","1","0","0","1","0","4.2","4.2","1.8","37","20"
"Nathaniel Brown","GER","DF,MF","Bundesliga","Eint Frankfurt","21","26","22","1,947",21.6,"3","6","3","0","0","2","0","2.2","2.2","5.1","45","63"
"Jacob Bruun Larsen","DEN","MF,FW","Bundesliga","Stuttgart","25","15","3","414",4.6,"1","0","1","0","0","1","0","0.6","0.6","1.2","19","19"
"Marius Bülter","GER","FW,DF","Bundesliga","Hoffenheim","31","25","22","1,729",19.2,"7","2","7","0","0","4","0","3.7","3.7","3.1","57","35"
"Jonathan Burkardt","GER","FW","Bundesliga","Mainz 05","24","29","28","2,109",23.4,"18","2","16","2","2","0","0","14.8","13.2","3.1","32","42"
"Oliver Burke","SCO","FW","Bundesliga","Werder Bremen","27","25","9","908",10.1,"5","0","5","0","0","4","0","4.1","4.1","1.7","22","15"
"Marnon Busch","GER","DF,MF","Bundesliga","Heidenheim","29","23","15","1,396",15.5,"0","1","0","0","0","1","0","0.4","0.4","1.1","22","63"
"Anthony Caci","FRA","DF","Bundesliga","Mainz 05","27","33","33","2,684",29.8,"1","7","1","0","0","6","0","3.1","3.1","6.6","45","133"
"Emre Can","GER","DF,MF","Bundesliga","Dortmund","30","31","23","2,105",23.4,"3","0","1","2","2","4","1","2.0","0.4","0.7","20","116"
"Julian Chabot","GER","DF","Bundesliga","Stuttgart","26","31","27","2,269",25.2,"3","1","3","0","0","11","1","2.0","1.8","0.5","7","108"
"El Chadaille Bitshiabu","FRA","DF","Bundesliga","RB Leipzig","19","21","13","1,130",12.6,"0","0","0","0","0","2","1","0.3","0.3","0.4","4","69"
"Fares Chaïbi","ALG","MF,FW","Bundesliga","Eint Frankfurt","21","26","10","1,013",11.3,"1","3","1","0","0","2","0","2.6","2.6","2.9","20","52"
"Anrie Chase","JPN","DF","Bundesliga","Stuttgart","20","12","7","734",8.2,"0","0","0","0","0","1","0","0.1","0.1","0.0","6","28"
"Arthur Chaves","BRA","DF","Bundesliga","Hoffenheim","23","26","24","2,185",24.3,"1","0","1","0","0","8","0","0.8","0.8","0.1","10","57"
"Alexis Claude-Maurice","FRA","MF,FW","Bundesliga","Augsburg","26","28","25","2,109",23.4,"9","2","9","0","0","4","0","4.7","4.7","1.2","59","61"
"Nnamdi Collins","GER","DF","Bundesliga","Eint Frankfurt","20","24","15","1,489",16.5,"1","1","1","0","0","4","0","0.8","0.8","1.0","30","63"
"Kingsley Coman","FRA","FW","Bundesliga","Bayern Munich","28","28","14","1,282",14.2,"5","4","5","0","0","0","0","4.3","4.3","3.3","66","45"
"Sirlord Conteh","GER","FW,MF","Bundesliga","Heidenheim","28","29","4","892",9.9,"1","1","1","0","0","2","0","2.1","2.1","2.6","29","19"
"Danny da Costa","GER","DF","Bundesliga","Mainz 05","31","25","25","2,006",22.3,"0","1","0","0","0","0","0","0.1","0.1","0.6","21","109"
