"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Yan Couto","BRA","DF,FW","Bundesliga","Dortmund","22","21","8","895",9.9,"0","0","0","0","0","5","0","0.3","0.3","0.9","46","68"
"Tomáš Čvančara","CZE","FW","Bundesliga","Gladbach","23","28","7","831",9.2,"2","0","2","0","0","5","1","3.8","3.8","0.9","15","23"
"Finn Dahmen","GER","GK","Bundesliga","Augsburg","26","19","19","1,710",19,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","3"
"Thomas Dähne","GER","GK","Bundesliga","Holstein Kiel","30","9","9","810",9,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Ameen Al-Dakhil","BEL","DF","Bundesliga","Stuttgart","22","7","6","432",4.8,"0","0","0","0","0","0","1","0.1","0.1","0.2","1","12"
"Bence Dárdai","HUN","MF","Bundesliga","Wolfsburg","18","21","16","1,304",14.5,"1","1","1","0","0","0","0","1.0","1.0","1.0","5","39"
"Lukas Daschner","GER","MF,FW","Bundesliga","Bochum","25","14","3","412",4.6,"1","1","1","0","1","0","0","2.7","1.9","0.7","8","11"
"Alphonso Davies","CAN","DF","Bundesliga","Bayern Munich","23","19","17","1,560",17.3,"1","2","1","0","0","0","0","1.2","1.2","1.6","81","120"
"Ermedin Demirović","BIH","FW","Bundesliga","Stuttgart","26","34","20","1,855",20.6,"15","1","15","0","2","2","0","14.1","12.4","1.9","20","31"
"Eric Dier","ENG","DF","Bundesliga","Bayern Munich","30","21","16","1,463",16.3,"2","1","2","0","0","1","0","1.1","1.1","0.1","12","73"
"Eren Dinkçi","GER","MF,FW","Bundesliga","Freiburg","22","23","13","1,196",13.3,"0","3","0","0","0","1","0","1.1","1.1","2.2","33","35"
"Ritsu Doan","JPN","FW,MF","Bundesliga","Freiburg","26","34","33","2,862",31.8,"10","7","10","0","0","2","0","6.6","6.6","3.7","64","130"
"Danilho Doekhi","NED","DF","Bundesliga","Union Berlin","26","34","34","3,060",34,"1","1","1","0","0","4","0","2.6","2.6","1.4","13","96"
"Niklas Dorsch","GER","MF","Bundesliga","Heidenheim","26","22","19","1,335",14.8,"2","2","2","0","0","5","1","1.0","1.0","1.1","13","57"
"Patrick Drewes","GER","GK","Bundesliga","Bochum","31","21","21","1,890",21,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","0"
"Marvin Ducksch","GER","FW","Bundesliga","Werder Bremen","30","32","30","2,418",26.9,"8","8","7","1","2","3","0","10.1","8.5","8.5","26","86"
"Johannes Eggestein","GER","FW","Bundesliga","St. Pauli","26","27","22","1,853",20.6,"3","4","2","1","2","3","0","4.7","3.1","2.1","25","43"
"Maximilian Eggestein","GER","MF","Bundesliga","Freiburg","27","33","33","2,845",31.6,"2","0","2","0","0","4","0","2.0","2.0","1.5","34","141"
"Hugo Ekitike","FRA","FW","Bundesliga","Eint Frankfurt","22","33","31","2,563",28.5,"15","8","14","1","3","1","0","21.6","19.3","6.8","93","53"
"Nico Elvedi","SUI","DF","Bundesliga","Gladbach","27","25","25","2,135",23.7,"1","1","1","0","0","1","0","2.0","2.0","0.4","20","55"
"Patrick Erras","GER","DF","Bundesliga","Holstein Kiel","29","10","10","832",9.2,"1","0","1","0","0","2","0","0.9","0.9","0.1","3","25"
"Samuel Essende","COD","FW","Bundesliga","Augsburg","26","30","21","1,636",18.2,"7","2","7","0","0","4","2","4.2","4.2","1.3","33","21"
"Kilian Fischer","GER","DF","Bundesliga","Wolfsburg","23","32","29","2,297",25.5,"1","0","1","0","0","7","0","0.3","0.3","0.5","51","110"
"Jonas Föhrenbach","GER","DF","Bundesliga","Heidenheim","28","27","22","1,832",20.4,"0","1","0","0","0","3","0","0.3","0.3","1.3","36","59"
"Marco Friedl","AUT","DF","Bundesliga","Werder Bremen","26","26","25","2,161",24,"0","0","0","0","0","10","2","0.5","0.5","0.2","4","69"
"Marvin Friedrich","GER","DF","Bundesliga","Gladbach","28","22","9","989",11,"0","1","0","0","0","0","0","0.4","0.4","0.6","11","36"
"Jeremie Frimpong","NED","DF,MF","Bundesliga","Leverkusen","23","33","25","2,314",25.7,"5","5","5","0","0","4","0","4.1","4.1","4.2","100","55"
"Chris Führich","GER","MF,FW","Bundesliga","Stuttgart","26","33","23","1,981",22,"2","3","2","0","0","1","0","2.9","2.9","3.7","114","95"
"Aleix García","ESP","MF","Bundesliga","Leverkusen","27","28","17","1,455",16.2,"3","4","3","0","0","3","0","1.0","1.0","4.9","27","120"
"Lutsharel Geertruida","NED","DF","Bundesliga","RB Leipzig","24","24","17","1,557",17.3,"1","0","1","0","0","2","0","1.1","1.1","1.0","21","93"
"Dennis Geiger","GER","MF,FW","Bundesliga","Hoffenheim","26","20","7","734",8.2,"0","0","0","0","0","4","0","0.2","0.2","0.5","12","37"
"Valentin Gendrey","FRA","DF","Bundesliga","Hoffenheim","24","22","14","1,414",15.7,"1","1","1","0","0","1","0","1.1","1.1","1.8","24","49"
"Yannick Gerhardt","GER","MF,DF","Bundesliga","Wolfsburg","30","29","15","1,518",16.9,"1","1","1","0","0","5","1","1.2","1.2","0.2","27","57"
"Max Geschwill","GER","DF","Bundesliga","Holstein Kiel","23","19","13","1,282",14.2,"1","2","1","0","0","2","0","0.9","0.9","0.8","6","58"
"Dimitris Giannoulis","GRE","DF","Bundesliga","Augsburg","28","31","31","2,650",29.4,"1","4","1","0","0","8","0","1.1","1.1","4.2","60","104"
"Armin Gigovic","BIH","MF","Bundesliga","Holstein Kiel","22","31","23","1,895",21.1,"5","1","5","0","0","5","0","1.9","1.9","2.1","37","50"
"Benedikt Gimber","GER","DF","Bundesliga","Heidenheim","27","32","32","2,671",29.7,"0","0","0","0","0","9","0","0.7","0.7","0.3","7","46"
"Matthias Ginter","GER","DF","Bundesliga","Freiburg","30","32","28","2,561",28.5,"2","1","2","0","0","5","0","2.8","2.8","0.7","11","113"
"Jamie Gittens","ENG","FW,MF","Bundesliga","Dortmund","19","32","21","1,776",19.7,"8","3","8","0","0","4","0","3.6","3.6","2.5","113","42"
"Serge Gnabry","GER","FW,MF","Bundesliga","Bayern Munich","29","27","13","1,242",13.8,"7","5","7","0","1","0","0","7.5","6.8","5.1","44","48"
"Leon Goretzka","GER","MF,DF","Bundesliga","Bayern Munich","29","26","13","1,325",14.7,"4","1","4","0","0","2","0","2.8","2.8","1.7","35","127"
"Mario Götze","GER","MF,FW","Bundesliga","Eint Frankfurt","32","24","18","1,542",17.1,"3","2","3","0","0","1","0","2.9","2.9","3.1","29","88"
"Jeffrey Gouweleeuw","NED","DF","Bundesliga","Augsburg","33","33","33","2,944",32.7,"1","4","1","0","1","9","0","1.7","0.9","2.2","24","142"
"Kamil Grabara","POL","GK","Bundesliga","Wolfsburg","25","29","29","2,585",28.7,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","2"
"Michael Gregoritsch","AUT","FW","Bundesliga","Freiburg","30","20","5","639",7.1,"2","1","2","0","0","2","0","1.8","1.8","0.4","6","19"
"Vincenzo Grifo","ITA","FW,MF","Bundesliga","Freiburg","31","34","31","2,432",27,"8","11","8","0","3","2","0","7.9","5.6","6.9","58","128"
"Florian Grillitsch","AUT","MF","Bundesliga","Hoffenheim","28","8","8","601",6.7,"0","0","0","0","0","1","0","0.2","0.2","0.2","4","44"
"Álex Grimaldo","ESP","DF","Bundesliga","Leverkusen","28","32","31","2,636",29.3,"2","7","2","0","0","6","1","2.5","2.5","8.1","86","160"
"Pascal Groß","GER","MF,DF","Bundesliga","Dortmund","33","30","28","2,327",25.9,"0","9","0","0","0","5","1","2.4","2.4","5.1","41","178"
"Marco Grüll","AUT","FW,MF","Bundesliga","Werder Bremen","26","30","13","1,181",13.1,"6","1","6","0","0","1","0","4.0","4.0","1.8","24","38"
"Raphaël Guerreiro","POR","DF,MF","Bundesliga","Bayern Munich","30","23","19","1,572",17.5,"4","4","4","0","0","2","0","2.9","2.9","2.9","39","85"
"Morgan Guilavogui","GUI","FW,MF","Bundesliga","St. Pauli","26","25","21","1,807",20.1,"6","2","6","0","0","6","0","7.1","7.1","1.9","42","41"
"Serhou Guirassy","GUI","FW","Bundesliga","Dortmund","28","30","29","2,598",28.9,"21","4","18","3","4","4","0","22.7","19.6","3.9","25","43"
"Péter Gulácsi","HUN","GK","Bundesliga","RB Leipzig","34","30","30","2,631",29.2,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Christian Günter","GER","DF","Bundesliga","Freiburg","31","29","27","2,314",25.7,"2","2","2","0","0","0","0","0.8","0.6","2.5","19","52"
"Janik Haberer","GER","MF,DF","Bundesliga","Union Berlin","30","28","21","1,696",18.8,"0","0","0","0","0","1","0","0.7","0.7","0.8","13","59"
"Robin Hack","GER","FW,MF","Bundesliga","Gladbach","25","33","27","2,172",24.1,"4","7","4","0","0","4","0","5.4","5.4","3.6","51","95"
"Amadou Haidara","MLI","MF","Bundesliga","RB Leipzig","26","28","16","1,320",14.7,"0","1","0","0","0","7","0","1.4","1.4","0.9","7","65"
"Andreas Hanche-Olsen","NOR","DF","Bundesliga","Mainz 05","27","22","12","1,284",14.3,"1","1","1","0","0","4","1","0.8","0.8","0.3","2","34"
"Phil Harres","GER","FW","Bundesliga","Holstein Kiel","22","26","17","1,544",17.2,"8","1","8","0","0","3","0","5.9","5.9","1.3","12","16"
"Ramon Hendriks","NED","DF","Bundesliga","Stuttgart","23","25","10","1,154",12.8,"0","1","0","0","0","3","0","0.6","0.6","1.0","8","36"
"Benjamin Henrichs","GER","DF","Bundesliga","RB Leipzig","27","15","10","935",10.4,"0","2","0","0","0","3","0","0.5","0.4","1.4","9","29"
"Piero Hincapié","ECU","DF","Bundesliga","Leverkusen","22","32","28","2,670",29.7,"2","2","2","0","0","8","0","2.9","2.9","3.2","52","152"
"Adam Hložek","CZE","FW,MF","Bundesliga","Hoffenheim","22","27","22","1,871",20.8,"8","4","8","0","0","2","0","5.6","5.6","3.5","54","68"
"Nicolas Höfler","GER","MF","Bundesliga","Freiburg","34","20","7","794",8.8,"0","0","0","0","0","3","0","0.2","0.2","0.1","1","30"
"Philipp Hofmann","GER","FW","Bundesliga","Bochum","31","32","27","2,277",25.3,"3","3","3","0","0","4","0","5.5","5.5","3.3","8","53"
"Lucas Höler","GER","FW,MF","Bundesliga","Freiburg","30","31","21","1,867",20.7,"6","4","6","0","1","3","0","7.7","6.9","2.9","21","47"
"Benedict Hollerbach","GER","FW,MF","Bundesliga","Union Berlin","23","34","30","2,540",28.2,"9","1","9","0","0","3","0","7.0","7.0","1.6","103","68"
"Lewis Holtby","GER","MF","Bundesliga","Holstein Kiel","33","25","13","1,238",13.8,"0","1","0","0","0","1","1","0.5","0.5","1.5","14","47"
"Gerrit Holtmann","PHI","DF,FW","Bundesliga","Bochum","29","23","12","1,136",12.6,"2","1","2","0","0","2","0","2.0","2.0","2.9","50","33"
"Franck Honorat","FRA","FW","Bundesliga","Gladbach","27","19","18","1,439",16,"4","7","4","0","0","0","0","4.5","4.5","5.3","63","45"
"Mathias Honsak","AUT","FW,DF","Bundesliga","Heidenheim","27","22","12","1,181",13.1,"5","1","5","0","0","1","0","3.3","3.3","1.6","37","29"
"Timo Horn","GER","GK","Bundesliga","Bochum","31","13","13","1,170",13,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","1"
"Lukáš Hrádecký","FIN","GK","Bundesliga","Leverkusen","34","29","29","2,610",29,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Hong Hyunseok","KOR","MF","Bundesliga","Mainz 05","25","23","4","530",5.9,"0","1","0","0","0","0","0","0.5","0.5","1.5","10","23"
"Oscar Højlund","DEN","MF","Bundesliga","Eint Frankfurt","19","20","7","722",8,"1","0","1","0","0","0","0","1.0","1.0","1.1","17","49"
"Andrej Ilic","SRB","FW","Bundesliga","Union Berlin","24","16","11","937",10.4,"7","0","6","1","1","1","0","4.9","4.1","0.3","5","13"
"Jackson Irvine","AUS","MF","Bundesliga","St. Pauli","31","29","29","2,610",29,"0","6","0","0","0","2","0","3.2","3.0","3.9","19","117"
"Ko Itakura","JPN","DF","Bundesliga","Gladbach","27","31","31","2,790",31,"3","0","3","0","0","5","0","1.6","1.6","0.8","23","69"
"Marko Ivezić","SRB","DF","Bundesliga","Holstein Kiel","22","23","18","1,657",18.4,"0","0","0","0","0","5","0","0.6","0.6","0.2","3","40"
"Lee Jae-sung","KOR","MF","Bundesliga","Mainz 05","31","33","31","2,650",29.4,"7","6","7","0","0","4","0","5.3","5.3","5.0","28","105"
"Kristijan Jakić","CRO","MF","Bundesliga","Augsburg","27","31","27","2,306",25.6,"0","1","0","0","0","2","0","0.8","0.8","1.2","24","106"
"Finn Jeltsch","GER","DF","Bundesliga","Stuttgart","18","12","9","780",8.7,"0","0","0","0","0","2","0","0.1","0.1","0.1","8","31"
"Fredrik Jensen","FIN","MF","Bundesliga","Augsburg","26","20","9","763",8.5,"0","0","0","0","0","0","0","0.7","0.7","0.7","16","20"
"Moritz Jenz","GER","DF","Bundesliga","Mainz 05","25","19","18","1,600",17.8,"0","0","0","0","0","4","0","1.6","1.6","0.3","1","47"
"Carl Johansson","SWE","DF","Bundesliga","Holstein Kiel","30","10","7","568",6.3,"0","0","0","0","0","0","1","0.0","0.0","0.4","0","12"
"Anthony Jung","GER","DF","Bundesliga","Werder Bremen","32","28","20","1,898",21.1,"0","0","0","0","0","1","0","0.0","0.0","0.1","20","121"
"Josip Juranović","CRO","DF,MF","Bundesliga","Union Berlin","28","17","13","1,159",12.9,"0","1","0","0","0","4","0","0.3","0.3","1.8","19","52"
"David Jurásek","CZE","DF","Bundesliga","Hoffenheim","23","14","6","619",6.9,"0","1","0","0","0","0","0","0.1","0.1","0.9","17","22"
"Pavel Kadeřábek","CZE","DF","Bundesliga","Hoffenheim","32","24","18","1,576",17.5,"2","0","2","0","0","6","0","0.8","0.8","2.0","15","47"
"Jakub Kamiński","POL","DF,MF","Bundesliga","Wolfsburg","22","22","12","1,130",12.6,"0","2","0","0","0","2","0","0.9","0.9","3.3","41","40"
"Kevin Kampl","SVN","MF","Bundesliga","RB Leipzig","33","26","18","1,593",17.7,"1","0","1","0","0","5","0","0.8","0.8","1.4","21","106"
"Harry Kane","ENG","FW","Bundesliga","Bayern Munich","31","31","28","2,381",26.5,"26","9","17","9","9","5","0","20.3","13.3","5.3","29","97"
"Atakan Karazor",NA,"MF","Bundesliga","Stuttgart","27","32","31","2,618",29.1,"2","4","2","0","0","10","1","2.3","2.0","2.6","19","140"
"Aljoscha Kemlein","GER","MF","Bundesliga","Union Berlin","19","15","11","922",10.2,"1","0","1","0","0","3","0","0.9","0.9","0.6","5","42"
"Luca Kerber","GER","MF,DF","Bundesliga","Heidenheim","22","23","7","783",8.7,"2","0","2","0","0","4","0","0.6","0.6","0.7","1","16"
"Rani Khedira","GER","MF","Bundesliga","Union Berlin","30","32","31","2,723",30.3,"1","1","1","0","0","7","0","1.4","1.4","0.6","12","80"
"Joshua Kimmich","GER","MF","Bundesliga","Bayern Munich","29","33","32","2,847",31.6,"3","7","3","0","0","4","0","1.8","1.8","7.4","51","362"
"Tim Kleindienst","GER","FW","Bundesliga","Gladbach","28","31","31","2,737",30.4,"16","7","15","1","2","5","1","13.6","11.9","6.2","45","63"
"Lukas Klostermann","GER","DF","Bundesliga","RB Leipzig","28","28","20","1,838",20.4,"1","0","1","0","0","5","0","0.3","0.3","0.1","16","83"
"Ansgar Knauff","GER","MF,DF","Bundesliga","Eint Frankfurt","22","30","18","1,597",17.7,"4","5","4","0","0","3","0","4.9","4.9","5.2","53","58"
"Magnus Knudsen","NOR","MF","Bundesliga","Holstein Kiel","23","31","22","1,850",20.6,"0","1","0","0","0","7","0","0.7","0.7","1.3","16","54"
"Gregor Kobel","SUI","GK","Bundesliga","Dortmund","26","32","32","2,880",32,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","1"
"Robin Koch","GER","DF","Bundesliga","Eint Frankfurt","28","30","30","2,586",28.7,"3","0","3","0","0","3","0","1.7","1.7","0.2","9","93"
"Derrick Köhn","GER","DF,FW","Bundesliga","Werder Bremen","25","27","14","1,343",14.9,"2","2","2","0","0","2","0","0.7","0.7","1.6","36","39"
"Dominik Kohr","GER","DF,MF","Bundesliga","Mainz 05","30","28","28","2,295",25.5,"2","0","2","0","0","11","1","1.6","1.6","0.6","26","101"
"Marco Komenda","CRO","DF","Bundesliga","Holstein Kiel","27","19","17","1,307",14.5,"0","0","0","0","0","3","0","0.1","0.1","0.8","13","53"
"Mert Kömür","GER","MF","Bundesliga","Augsburg","19","20","5","654",7.3,"2","1","2","0","0","1","0","1.1","1.1","1.5","18","11"
"Henri Koudossou","GER","DF","Bundesliga","Augsburg","24","21","4","748",8.3,"0","0","0","0","0","1","0","0.1","0.1","0.8","19","23"
"Konstantinos Koulierakis","GRE","DF","Bundesliga","Wolfsburg","20","30","28","2,468",27.4,"0","2","0","0","0","4","0","1.0","1.0","1.0","20","104"
"Matej Kovar","CZE","GK","Bundesliga","Leverkusen","24","5","5","450",5,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Andrej Kramarić","CRO","MF,FW","Bundesliga","Hoffenheim","33","32","32","2,767",30.7,"11","8","8","3","3","4","0","11.8","9.5","4.3","75","143"
"Frans Krätzig","GER","DF,MF","Bundesliga","Heidenheim","21","16","15","1,217",13.5,"1","2","1","0","0","1","0","0.6","0.6","1.8","25","37"
"Tom Krauß","GER","MF","Bundesliga","Bochum","23","14","13","1,077",12,"0","0","0","0","0","2","0","0.4","0.4","0.7","16","84"
"Rasmus Kristensen","DEN","DF","Bundesliga","Eint Frankfurt","27","30","28","2,513",27.9,"5","3","5","0","0","4","0","2.5","2.5","3.1","51","172"
"Lukas Kübler","GER","DF","Bundesliga","Freiburg","31","28","22","1,842",20.5,"5","1","5","0","0","5","0","2.7","2.7","0.8","24","78"
"Nediljko Labrović","CRO","GK","Bundesliga","Augsburg","24","15","15","1,350",15,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Konrad Laimer","AUT","DF","Bundesliga","Bayern Munich","27","29","19","1,699",18.9,"2","2","2","0","0","8","0","2.1","2.1","2.7","87","141"
"Stefan Lainer","AUT","DF","Bundesliga","Gladbach","31","21","6","757",8.4,"1","0","1","0","0","2","0","0.3","0.3","1.0","25","25"
"Hugo Larsson","SWE","MF","Bundesliga","Eint Frankfurt","20","33","28","2,393",26.6,"3","1","3","0","0","2","0","3.1","3.1","2.1","16","121"
"Diogo Leite","POR","DF","Bundesliga","Union Berlin","25","30","29","2,546",28.3,"1","2","1","0","0","3","0","1.4","1.4","1.0","20","116"
"Maxim Leitsch","GER","DF","Bundesliga","Mainz 05","26","14","6","674",7.5,"1","0","1","0","0","2","0","1.2","1.2","0.2","4","25"
"Jamie Leweling","GER","MF,FW","Bundesliga","Stuttgart","23","27","22","1,663",18.5,"2","2","2","0","0","4","0","1.6","1.6","3.8","55","51"
"Philipp Lienhart","AUT","DF","Bundesliga","Freiburg","28","32","31","2,770",30.8,"1","0","1","0","0","5","0","0.5","0.5","0.8","44","138"
"Anthony Losilla","FRA","MF","Bundesliga","Bochum","38","21","13","1,137",12.6,"0","0","0","0","0","1","0","0.1","0.1","0.4","3","45"
"Castello Lukeba","FRA","DF","Bundesliga","RB Leipzig","21","23","18","1,577",17.5,"0","0","0","0","0","2","0","0.4","0.4","0.2","18","80"
"Senne Lynen","BEL","MF","Bundesliga","Werder Bremen","25","32","32","2,733",30.4,"0","1","0","0","0","9","0","1.1","1.1","0.6","9","91"
"Shuto Machino","JPN","FW,MF","Bundesliga","Holstein Kiel","24","32","23","1,953",21.7,"11","2","9","2","2","2","0","6.5","4.9","3.0","30","59"
"Arne Maier","GER","MF","Bundesliga","Augsburg","25","28","7","938",10.4,"0","0","0","0","0","0","1","1.5","1.5","1.5","19","44"
"Patrick Mainka","GER","DF","Bundesliga","Heidenheim","29","34","34","3,060",34,"1","1","1","0","0","3","0","1.9","1.9","0.3","21","102"
"Jordy Makengo","FRA","DF","Bundesliga","Freiburg","22","19","7","745",8.3,"0","0","0","0","0","1","0","0.0","0.0","0.2","9","15"
"Julián Malatini","ARG","DF","Bundesliga","Werder Bremen","23","10","5","454",5,"1","1","1","0","0","1","0","0.2","0.2","0.5","8","24"
"Donyell Malen","NED","FW,MF","Bundesliga","Dortmund","25","14","6","614",6.8,"3","0","3","0","0","1","0","2.9","2.9","0.2","23","17"
"Lennard Maloney","USA","MF","Bundesliga","Heidenheim","24","11","10","760",8.4,"0","0","0","0","0","1","0","0.3","0.3","0.0","1","14"
"Omar Marmoush","EGY","FW","Bundesliga","Eint Frankfurt","25","17","17","1,448",16.1,"15","9","13","2","2","2","0","8.8","7.3","6.2","73","50"
"Giorgos Masouras","GRE","FW,MF","Bundesliga","Bochum","30","14","12","1,055",11.7,"2","1","2","0","0","1","0","3.9","3.9","1.1","26","19"
"Erhan Mašović","SRB","DF","Bundesliga","Bochum","25","16","10","910",10.1,"1","1","1","0","0","2","0","0.6","0.6","0.9","1","35"
"Chrislain Matsima","FRA","DF","Bundesliga","Augsburg","22","30","28","2,551",28.3,"1","1","1","0","0","4","0","1.8","1.8","0.3","14","84"
"Jean Mattéo Bahoya","FRA","MF,FW","Bundesliga","Eint Frankfurt","19","24","10","921",10.2,"2","3","2","0","0","3","0","1.9","1.9","1.7","24","28"
"Jakov Medić","CRO","DF","Bundesliga","Bochum","25","23","17","1,603",17.8,"1","0","1","0","0","2","0","0.9","0.9","0.2","2","27"
"Karol Mets","EST","DF","Bundesliga","St. Pauli","31","10","10","900",10,"0","0","0","0","0","1","0","0.1","0.1","0.2","5","54"
"Enzo Millot","FRA","MF,FW","Bundesliga","Stuttgart","22","29","22","1,843",20.5,"6","5","6","0","1","9","0","7.6","6.7","3.1","44","118"
"Kim Min-jae","KOR","DF","Bundesliga","Bayern Munich","27","27","27","2,283",25.4,"2","0","2","0","0","2","0","1.6","1.6","0.3","16","181"
"Maximilian Mittelstädt","GER","DF","Bundesliga","Stuttgart","27","31","28","2,469",27.4,"1","7","1","0","0","5","0","0.9","0.9","4.7","62","182"
"Koji Miyoshi","JPN","FW,MF","Bundesliga","Bochum","27","15","6","464",5.2,"1","0","1","0","0","0","1","1.1","1.1","0.8","11","15"
"Max Moerstedt","GER","FW","Bundesliga","Hoffenheim","","12","5","451",5,"0","0","0","0","0","2","0","0.8","0.8","0.6","6","10"
"Nordi Mukiele","FRA","DF","Bundesliga","Leverkusen","26","15","10","899",10,"1","0","1","0","0","4","0","1.4","1.4","1.0","20","36"
"Florian Müller","GER","GK","Bundesliga","Freiburg","26","9","8","753",8.4,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Kevin Müller","GER","GK","Bundesliga","Heidenheim","33","33","33","2,939",32.7,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","1"
"Marius Müller","GER","GK","Bundesliga","Wolfsburg","31","6","5","475",5.3,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Thomas Müller","GER","MF,FW","Bundesliga","Bayern Munich","34","30","12","1,225",13.6,"1","4","1","0","0","3","0","3.8","3.8","2.9","24","50"
"Jamal Musiala","GER","MF","Bundesliga","Bayern Munich","21","25","21","1,798",20,"12","2","12","0","0","3","0","9.3","9.3","4.5","71","107"
"Phillipp Mwene","AUT","DF","Bundesliga","Mainz 05","30","32","32","2,607",29,"1","4","1","0","0","7","0","1.5","1.5","1.9","62","106"
"Joakim Mæhle","DEN","DF","Bundesliga","Wolfsburg","27","28","25","2,188",24.3,"3","4","3","0","0","6","0","2.0","2.0","2.2","59","88"
"Nathan N'Goumou","CMR","FW","Bundesliga","Gladbach","24","19","9","828",9.2,"2","1","2","0","0","0","0","1.9","1.9","1.3","30","16"
"Stanley N'Soki","FRA","DF","Bundesliga","Hoffenheim","25","22","16","1,308",14.5,"0","0","0","0","0","3","1","0.1","0.1","0.4","10","52"
"Paul Nebel","GER","MF","Bundesliga","Mainz 05","21","31","26","2,345",26.1,"10","4","10","0","0","5","1","5.8","5.8","4.1","67","91"
"Kosta Nedeljković","SRB","DF","Bundesliga","RB Leipzig","18","10","6","479",5.3,"0","0","0","0","0","1","0","0.5","0.5","0.3","10","16"
"David Nemeth","AUT","DF","Bundesliga","St. Pauli","23","24","24","2,137",23.7,"0","1","0","0","0","3","0","0.2","0.2","0.1","14","65"
"Luca Netz","GER","DF","Bundesliga","Gladbach","21","24","8","969",10.8,"0","2","0","0","0","2","0","0.2","0.2","1.9","16","28"
"Manuel Neuer","GER","GK","Bundesliga","Bayern Munich","38","22","22","1,980",22,"0","0","0","0","0","0","0","0.0","0.0","0.5","0","10"
"Moritz Nicolas","GER","GK","Bundesliga","Gladbach","26","19","19","1,639",18.2,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Justin Njinmah","GER","FW,MF","Bundesliga","Werder Bremen","23","26","10","952",10.6,"3","2","3","0","0","1","0","3.7","3.7","1.6","33","23"
"Felix Nmecha","GER","MF","Bundesliga","Dortmund","23","26","19","1,509",16.8,"4","1","4","0","0","3","0","1.3","1.3","1.1","21","85"
"Lukas Nmecha","GER","FW,MF","Bundesliga","Wolfsburg","25","19","3","467",5.2,"3","0","3","0","0","1","0","4.5","4.5","0.3","8","6"
"Alexander Nübel","GER","GK","Bundesliga","Stuttgart","27","34","34","3,060",34,"0","1","0","0","0","0","0","0.0","0.0","0.3","0","0"
"Antonio Nusa","NOR","MF,DF","Bundesliga","RB Leipzig","19","25","16","1,558",17.3,"3","3","3","0","0","0","0","1.6","1.6","2.8","57","52"
"Tim Oermann","GER","DF","Bundesliga","Bochum","20","29","26","2,213",24.6,"0","2","0","0","0","0","0","0.2","0.2","0.6","15","61"
"Finn Ole Becker","GER","MF","Bundesliga","Hoffenheim","24","13","7","670",7.4,"0","1","0","0","0","1","0","0.1","0.1","0.3","3","45"
"Michael Olise","FRA","FW,MF","Bundesliga","Bayern Munich","22","34","28","2,334",25.9,"12","15","12","0","0","3","0","9.7","9.7","12.0","119","184"
"Jonas Omlin","SUI","GK","Bundesliga","Gladbach","30","12","11","978",10.9,"0","0","0","0","0","0","1","0.0","0.0","0.0","0","0"
