"player","nation","pos","team","played_90s","goals","shots","shots_ot","on_target_pct","shots_p90","shots_ot_p90","goals_per_shot","goals_per_sot","avg_shot_dist","free_kick_shots","pens","pens_taken"
"Mykhailo Mudryk","UKR","FW","Chelsea","1.7","0","1","1","100.0","0.60","0.60","0.00","0.00","11.6","0","0","0"
"Marshall Munetsi","ZIM","MF,FW","Wolves","12.0","2","22","7","31.8","1.84","0.58","0.09","0.29","15.0","0","0","0"
"Rodrigo Muniz","BRA","FW","Fulham","10.7","8","39","19","48.7","3.64","1.77","0.21","0.42","12.0","0","0","0"
"Daniel Muñoz","COL","DF","Crystal Palace","35.9","4","37","14","37.8","1.03","0.39","0.11","0.29","12.7","0","0","0"
"Arijanet Muric","KVX","GK","Ipswich Town","18.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Murillo","BRA","DF","Nott'ham Forest","35.4","2","25","6","24.0","0.71","0.17","0.08","0.33","21.9","3","0","0"
"Jacob Murphy","ENG","FW","Newcastle Utd","26.2","8","43","15","34.9","1.64","0.57","0.19","0.53","18.2","0","0","0"
"Vitaliy Mykolenko","UKR","DF","Everton","34.2","1","14","1","7.1","0.41","0.03","0.07","1.00","20.6","0","0","0"
"Iliman Ndiaye","SEN","FW","Everton","27.0","9","35","15","42.9","1.30","0.56","0.20","0.47","17.1","0","2","2"
"Wilfred Ndidi","NGA","MF","Leicester City","25.8","0","22","8","36.4","0.85","0.31","0.00","0.00","13.9","0","0","0"
"Kosta Nedeljković","SRB","DF","Aston Villa","1.4","0","0","0","","0.00","0.00","","","","0","0","0"
"Reiss Nelson","ENG","FW","Arsenal","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Reiss Nelson","ENG","FW","Fulham","5.4","1","12","6","50.0","2.22","1.11","0.08","0.17","15.4","0","0","0"
"Neto","BRA","GK","Bournemouth","2.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Pedro Neto","POR","FW","Chelsea","25.2","4","59","17","28.8","2.34","0.67","0.07","0.24","18.2","0","0","0"
"Eddie Nketiah","ENG","FW,MF","Crystal Palace","11.5","3","43","16","37.2","3.74","1.39","0.07","0.19","13.8","0","0","0"
"Christopher Nkunku","FRA","FW","Chelsea","10.2","3","25","11","44.0","2.44","1.07","0.12","0.27","12.6","0","0","0"
"Gustavo Nunes","BRA","FW,MF","Brentford","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Matheus Nunes","POR","DF,MF","Manchester City","18.6","1","9","4","44.4","0.48","0.22","0.11","0.25","19.0","0","0","0"
"Darwin Núñez","URU","FW","Liverpool","12.6","5","34","13","38.2","2.70","1.03","0.15","0.38","14.3","0","0","0"
"Ethan Nwaneri","ENG","FW,MF","Arsenal","9.9","4","24","9","37.5","2.41","0.91","0.17","0.44","18.5","1","0","0"
"Christian Nørgaard","DEN","MF","Brentford","31.3","5","39","15","38.5","1.25","0.48","0.13","0.33","14.3","0","0","0"
"Jake O'Brien","IRL","DF","Everton","17.5","2","6","3","50.0","0.34","0.17","0.33","0.67","11.1","0","0","0"
"Matt O'Riley","DEN","MF","Brighton","10.4","2","21","6","28.6","2.01","0.58","0.05","0.17","17.6","2","1","1"
"Dara O'Shea","IRL","DF","Ipswich Town","34.7","0","22","2","9.1","0.63","0.06","0.00","0.00","13.6","0","0","0"
"Chidozie Obi-Martin","DEN","FW","Manchester Utd","1.8","0","5","1","20.0","2.73","0.55","0.00","0.00","10.7","0","0","0"
